Lemma,Rank,SFI,U
present,491,61.61,144.88
amount,492,62.12,162.91
market,493,64.64,290.99
sing,494,63.01,200.12
save,495,62.15,164.08
game,496,64.24,265.30
lovely,497,56.93,49.37
choice,498,61.87,153.76
ready,499,61.69,147.60
food,500,63.14,206.11
die,501,63.35,216.42
health,502,63.88,244.22
color,503,60.62,115.38
community,504,64.75,298.24
miss,506,61.40,137.96
mathematics,505,58.57,72.01
address,507,62.36,172.19
town,508,62.74,187.94
win,509,65.20,330.98
foot,510,61.22,132.42
raise,511,63.28,212.63
discuss,512,61.53,142.34
committee,513,61.20,131.92
pull,514,61.60,144.47
box,515,60.11,102.59
dear,516,56.79,47.77
consider,517,63.05,202.02
rest,518,61.96,157.05
increase,519,62.90,194.86
situation,389,64.31,269.81
involve,390,64.04,253.65
check,391,62.85,192.65
along,392,63.82,241.12
full,393,62.64,183.71
form,394,62.78,189.51
sell,395,63.64,230.97
story,396,66.94,494.28
certain,397,63.50,223.75
local,398,63.32,214.62
ring,399,59.68,92.92
figure,400,63.51,224.51
twelve,401,56.05,40.23
wonder,402,62.90,195.08
boy,403,62.25,167.73
usually,404,61.49,141.03
public,405,65.40,346.90
less,406,64.19,262.61
worry,407,63.09,203.89
yesterday,409,62.99,199.12
funny,408,60.99,125.62
road,410,62.33,170.81
discussion,411,61.61,144.90
front,412,62.70,186.31
record,413,64.61,289.07
across,414,64.15,259.98
absolutely,415,63.84,241.86
short,416,62.59,181.59
policy,417,64.38,274.03
difficult,418,63.41,219.04
teach,419,62.45,175.80
mine,420,60.83,120.95
piece,421,62.87,193.75
provide,422,63.18,207.98
comment,423,62.26,168.08
cover,424,62.96,197.78
mother,425,63.02,200.42
almost,426,64.39,274.93
list,427,62.15,163.92
difference,428,63.26,211.65
ninety,429,55.24,33.42
against,430,66.05,402.64
forget,431,61.32,135.44
page,432,60.92,123.47
light,433,62.49,177.29
happy,434,62.30,169.73
yourself,435,61.75,149.58
myself,436,62.15,164.20
dollar,437,63.30,213.80
cough,438,57.30,53.67
tape,439,60.62,115.35
allow,440,63.87,244.06
wear,441,61.34,136.00
forward,442,62.31,170.27
follow,443,63.57,227.54
experience,444,64.19,262.37
clock,445,59.03,79.92
listen,446,64.41,276.37
water,346,64.17,260.93
program,347,66.18,414.98
parent,348,64.02,252.50
break,349,64.69,294.69
agree,350,64.42,276.43
business,351,65.60,362.91
within,352,63.60,229.19
door,353,62.16,164.42
sense,355,65.01,316.71
drive,354,63.86,243.39
stand,356,64.46,279.07
basically,357,63.71,234.75
process,358,64.54,284.73
hold,359,65.08,322.31
cut,360,64.18,261.55
moment,361,64.39,274.88
girl,362,62.75,188.51
past,363,64.74,297.75
without,364,64.59,287.43
learn,365,64.57,286.41
young,366,65.41,347.45
anybody,367,62.60,182.04
teacher,368,62.26,168.44
become,369,66.36,432.59
member,370,65.01,316.67
train,371,63.31,214.09
class,372,62.62,182.95
forty,373,57.00,50.07
company,374,66.07,404.26
begin,375,66.11,408.01
fine,376,61.85,153.04
support,377,65.26,335.78
world,379,67.80,602.23
head,378,64.74,298.15
nineteen,380,55.98,39.64
dad,381,60.65,116.08
view,382,63.83,241.30
decide,383,64.14,259.44
finish,384,61.75,149.71
expect,385,64.59,287.64
particular,386,63.00,199.47
percent,387,65.11,324.63
shop,388,61.27,134.10
clear,310,64.43,277.61
eat,311,63.08,203.16
perhaps,312,63.59,228.75
early,313,66.03,400.76
care,314,65.31,339.39
pick,315,63.71,235.08
type,316,62.84,192.27
matter,317,64.64,290.98
such,318,65.26,335.57
until,319,64.69,294.61
hope,320,65.64,366.75
level,321,64.58,287.38
small,322,64.91,309.71
line,323,65.64,366.18
close,324,65.79,379.41
phone,325,63.93,247.29
least,326,65.14,326.79
under,327,65.49,353.85
someone,328,64.75,298.25
system,329,65.82,381.55
cost,330,63.99,250.90
state,331,67.83,606.58
sometimes,332,63.96,248.84
paper,333,62.52,178.52
top,334,64.66,292.29
since,336,65.71,372.38
concern,335,64.85,305.18
TRUE,#N/A,#N/A,#N/A
order,338,64.10,256.92
government,339,67.85,610.04
sound,340,64.17,260.97
tomorrow,341,63.29,213.32
service,342,64.09,256.18
wrong,343,63.63,230.43
lose,344,65.45,350.87
easy,345,63.44,220.62
obviously,280,63.85,242.87
reason,281,65.51,355.98
yet,282,64.79,301.48
walk,283,64.23,264.69
either,284,64.12,258.08
wait,285,64.26,266.83
already,286,65.05,319.99
person,287,65.57,360.43
open,288,65.43,349.14
once,289,65.04,318.96
report,291,67.68,586.12
deal,290,66.19,416.22
stop,292,65.02,317.70
hand,293,65.08,322.12
alright,294,57.59,57.41
example,295,65.03,318.74
cause,296,64.45,278.50
information,297,64.63,290.67
please,298,62.49,177.61
exactly,299,64.80,302.25
ago,300,66.39,435.54
room,301,63.65,231.98
answer,302,64.55,285.04
spend,303,65.48,352.99
stay,304,64.86,306.33
rather,305,63.61,229.51
certainly,306,65.28,337.31
breath,307,59.01,79.69
while,308,65.52,356.46
everybody,309,64.34,271.56
case,258,67.40,549.28
real,259,65.81,381.39
second,260,65.52,356.37
mind,261,64.41,276.07
woman,262,67.57,571.57
guy,263,65.78,378.57
each,264,65.32,340.53
hard,265,66.04,401.92
couple,266,64.99,315.41
love,267,66.03,400.43
speak,268,66.78,476.61
group,269,66.60,457.20
together,270,65.31,339.93
high,271,66.88,487.82
friend,272,65.07,321.42
build,273,65.82,382.22
family,274,66.81,479.38
watch,275,65.05,319.82
country,276,68.72,745.25
plan,277,65.93,391.31
fifty,278,58.37,68.77
send,279,65.05,320.00
able,237,66.41,437.39
item,238,61.28,134.15
hour,239,66.23,419.56
side,240,65.94,392.82
enough,241,65.92,390.50
ever,242,65.84,383.39
important,243,66.64,461.83
late,244,67.09,511.67
turn,245,66.55,451.77
between,246,66.74,472.47
thousand,247,64.38,274.26
few,248,66.61,457.69
term,249,66.23,419.61
life,250,67.94,622.90
nine,251,62.49,177.59
believe,252,67.11,513.57
far,253,65.92,391.19
sorry,254,62.56,180.48
set,255,65.84,383.71
thirty,256,58.68,73.86
nothing,257,64.86,306.03
whatever,218,64.55,285.37
car,219,65.39,346.14
sit,220,65.29,338.01
bring,221,67.15,518.97
book,222,67.37,545.65
name,223,66.31,427.54
run,224,67.31,538.65
show,225,68.21,662.23
word,226,65.91,389.55
suppose,227,63.73,236.13
morning,228,65.03,318.59
must,229,64.69,294.58
understand,230,66.52,448.44
month,231,66.86,485.03
both,232,67.14,517.86
idea,233,66.27,423.32
seven,234,63.79,239.44
pretty,235,65.57,360.72
somebody,236,65.03,318.08
help,209,68.02,634.21
ten,210,63.50,223.86
whole,211,66.14,411.34
everything,212,65.50,354.76
minute,213,65.65,367.42
may,214,67.92,619.81
whether,215,66.91,491.44
student,216,65.64,366.73
guess,217,64.79,301.12
great,195,68.40,692.54
job,196,67.16,520.39
seem,197,67.16,519.63
man,198,68.26,670.02
night,199,66.34,430.25
away,200,66.55,452.13
pound,201,62.13,163.42
issue,202,68.59,722.37
own,203,67.54,567.85
area,204,66.36,432.16
half,205,65.37,344.09
bad,206,66.67,464.99
round,207,62.90,194.88
eight,208,64.17,261.13
move,185,67.38,546.98
every,186,67.65,581.99
today,187,69.75,943.02
twenty,188,59.90,97.64
else,189,65.63,365.35
anyway,190,63.25,211.17
child,191,67.71,589.79
buy,192,65.86,385.90
fact,193,67.90,616.86
play,194,68.04,636.68
house,176,67.05,507.01
new,177,69.75,944.32
live,178,67.87,611.69
part,179,68.85,767.62
kid,180,66.95,495.93
interest,181,68.03,635.54
around,182,68.19,658.85
write,183,67.73,592.81
most,184,69.33,857.84
place,168,68.15,652.79
remember,169,66.22,418.41
maybe,170,67.08,510.98
old,171,67.15,518.34
test,172,65.81,381.36
home,173,67.83,607.19
change,174,68.52,710.65
though,175,66.54,450.92
thank,158,69.43,876.35
meet,159,67.47,558.47
stuff,160,65.36,343.39
end,161,68.11,646.45
number,162,68.32,678.71
hear,163,68.90,776.63
next,164,68.15,653.47
six,165,65.75,375.92
pay,166,67.21,526.26
money,167,68.11,646.72
happen,148,69.25,842.23
course,149,67.69,587.66
keep,150,67.90,616.66
another,151,68.42,694.44
nice,152,65.17,329.20
read,153,67.07,509.62
hundred,154,65.25,335.10
leave,155,67.80,602.06
many,156,69.69,931.80
